school,year,discipline,subjects,oneHundred,overHundred,total,note
"厦门大学","2025","哲学","各学科专业","45","80","321",""
"厦门大学","2025","经济学","专业学位各学科专业（不含金融[0251]）","50","90","350",""
"厦门大学","2025","其他学科专业","","50","80","330",""
"厦门大学","2025","法学","各学科专业","45","80","330",""
"厦门大学","2025","教育学","体育[0452]","45","180","340",""
"厦门大学","2025","国际中文教育","","50","90","341",""
"厦门大学","2025","其他学科专业","","50","180","341",""
"厦门大学","2025","文学","各学科专业","50","90","351",""
"厦门大学","2025","历史学","各学科专业","45","180","345",""
"厦门大学","2025","理学","各学科专业","45","65","300",""
"厦门大学","2025","工学","专业学位各学科专业（不含生物与医药[0860]、网络与信息安全[085412]）","50","75","300",""
"厦门大学","2025","其他学科专业","","40","65","270",""
"厦门大学","2025","医学","各学科专业","40","150","295",""
"厦门大学","2025","公共管理","","45","100","170",""
"厦门大学","2025","会计","","55","110","194",""
"厦门大学","2025","旅游管理","","40","85","151",""
"厦门大学","2025","工程管理","","50","100","170",""
"厦门大学","2025","物流工程与管理、审计硕士","","60","120","230",""
"厦门大学","2025","其他学科专业","","45","80","340",""
"厦门大学","2025","艺术学","各学科专业","40","60","351",""
"厦门大学","2025","交叉学科","各学科专业","40","60","290",""
