name,province,dept,level,admissionUrl
"北京大学","北京","教育部","985/211/双一流","https://yz.chsi.com.cn/sch/schoolInfo--schId-367878.dhtml"
"中国人民大学","北京","教育部","985/211/双一流","https://yz.chsi.com.cn/sch/schoolInfo--schId-367879.dhtml"
"清华大学","北京","教育部","985/211/双一流","https://yz.chsi.com.cn/sch/schoolInfo--schId-367880.dhtml"
"北京交通大学","北京","教育部","双一流","https://yz.chsi.com.cn/sch/schoolInfo--schId-367881.dhtml"
"北京工业大学","北京","北京市","双一流","https://yz.chsi.com.cn/sch/schoolInfo--schId-367882.dhtml"
"北京航空航天大学","北京","工业与信息化部","985/211/双一流","https://yz.chsi.com.cn/sch/schoolInfo--schId-367883.dhtml"
"北京理工大学","北京","工业与信息化部","985/211/双一流","https://yz.chsi.com.cn/sch/schoolInfo--schId-367884.dhtml"
"北京科技大学","北京","教育部","双一流","https://yz.chsi.com.cn/sch/schoolInfo--schId-367896.dhtml"
"北京化工大学","北京","教育部","双一流","https://yz.chsi.com.cn/sch/schoolInfo--schId-367877.dhtml"
"北京邮电大学","北京","教育部","双一流","https://yz.chsi.com.cn/sch/schoolInfo--schId-367890.dhtml"
"中国农业大学","北京","教育部","985/211/双一流","https://yz.chsi.com.cn/sch/schoolInfo--schId-367893.dhtml"
"北京林业大学","北京","教育部","双一流","https://yz.chsi.com.cn/sch/schoolInfo--schId-367895.dhtml"
"北京协和医学院","北京","国家卫生健康委员会","双一流","https://yz.chsi.com.cn/sch/schoolInfo--schId-367867.dhtml"
"北京中医药大学","北京","教育部","双一流","https://yz.chsi.com.cn/sch/schoolInfo--schId-367885.dhtml"
"北京师范大学","北京","教育部","985/211/双一流","https://yz.chsi.com.cn/sch/schoolInfo--schId-367859.dhtml"
"首都师范大学","北京","北京市","双一流","https://yz.chsi.com.cn/sch/schoolInfo--schId-367860.dhtml"
"北京外国语大学","北京","教育部","双一流","https://yz.chsi.com.cn/sch/schoolInfo--schId-367862.dhtml"
"中国传媒大学","北京","教育部","双一流","https://yz.chsi.com.cn/sch/schoolInfo--schId-367876.dhtml"
"中央财经大学","北京","教育部","双一流","https://yz.chsi.com.cn/sch/schoolInfo--schId-367866.dhtml"
"对外经济贸易大学","北京","教育部","双一流","https://yz.chsi.com.cn/sch/schoolInfo--schId-367897.dhtml"
"外交学院","北京","外交部","双一流","https://yz.chsi.com.cn/sch/schoolInfo--schId-367887.dhtml"
"中国人民公安大学","北京","公安部","双一流","https://yz.chsi.com.cn/sch/schoolInfo--schId-367870.dhtml"
"北京体育大学","北京","国家体育总局","双一流","https://yz.chsi.com.cn/sch/schoolInfo--schId-367872.dhtml"
"中央音乐学院","北京","教育部","双一流","https://yz.chsi.com.cn/sch/schoolInfo--schId-367873.dhtml"
"中国音乐学院","北京","北京市","双一流","https://yz.chsi.com.cn/sch/schoolInfo--schId-367874.dhtml"
"中央美术学院","北京","教育部","双一流","https://yz.chsi.com.cn/sch/schoolInfo--schId-367875.dhtml"
"中央戏剧学院","北京","教育部","双一流","https://yz.chsi.com.cn/sch/schoolInfo--schId-367858.dhtml"
"中央民族大学","北京","国家民族事务委员会","双一流","https://yz.chsi.com.cn/sch/schoolInfo--schId-367920.dhtml"
"中国政法大学","北京","教育部","双一流","https://yz.chsi.com.cn/sch/schoolInfo--schId-367921.dhtml"
"华北电力大学","北京","教育部","双一流","https://yz.chsi.com.cn/sch/schoolInfo--schId-367935.dhtml"
"中国矿业大学(北京)","北京","教育部","双一流","https://yz.chsi.com.cn/sch/schoolInfo--schId-367923.dhtml"
"中国石油大学(北京)","北京","教育部","双一流","https://yz.chsi.com.cn/sch/schoolInfo--schId-367916.dhtml"
"中国地质大学(北京)","北京","教育部","双一流","https://yz.chsi.com.cn/sch/schoolInfo--schId-367925.dhtml"
"中国科学院大学","北京","中国科学院","双一流","https://yz.chsi.com.cn/sch/schoolInfo--schId-367929.dhtml"
"南开大学","天津","教育部","985/211/双一流","https://yz.chsi.com.cn/sch/schoolInfo--schId-367949.dhtml"
"天津大学","天津","教育部","985/211/双一流","https://yz.chsi.com.cn/sch/schoolInfo--schId-367959.dhtml"
"天津工业大学","天津","天津市","双一流","https://yz.chsi.com.cn/sch/schoolInfo--schId-367948.dhtml"
"天津医科大学","天津","天津市","双一流","https://yz.chsi.com.cn/sch/schoolInfo--schId-367938.dhtml"
"天津中医药大学","天津","天津市","双一流","https://yz.chsi.com.cn/sch/schoolInfo--schId-367954.dhtml"
